condition,seed,accuracy,macro_f1,balanced_acc,f1_WM,f1_SR,f1_LI,f1_EF,f1_VA
Full Fusion (684D),42,0.8446275946275946,0.8535446875309711,0.8487377941109451,0.9718518518518519,0.9741650913673598,0.7932960893854749,0.7823392718822618,0.7460711331679074
Full Fusion (684D),50,0.7793148880105402,0.8030957692678191,0.7854347326980375,0.8941548183254344,0.9852125693160814,0.71071953010279,0.7244805781391147,0.7009113504556752
Full Fusion (684D),75,0.8534645967436577,0.8647906648626578,0.8639608413436205,0.9942857142857143,0.9730146491904395,0.7781299524564184,0.8267782426778243,0.7517447657028913
Full Fusion (684D),100,0.852385856505321,0.8647151045904083,0.8641807279942533,0.9985652797704447,0.9700230591852421,0.7889908256880734,0.8060654429369514,0.7599309153713298
No-OC (582D),42,0.8418803418803419,0.8512592617140106,0.8461728897574087,0.9718518518518519,0.9741650913673598,0.7866295264623956,0.7836990595611285,0.7399507793273175
No-OC (582D),50,0.7803030303030303,0.8049153913848786,0.7873557273900109,0.8976377952755905,0.9879518072289156,0.7079646017699115,0.7241689128481581,0.7068538398018167
No-OC (582D),75,0.8553578190079515,0.866434675869834,0.8656913113093847,0.9942857142857143,0.9730146491904395,0.7825396825396825,0.8283333333333334,0.754
No-OC (582D),100,0.8513559903879162,0.8634188206948764,0.8634179439364,0.9985652797704447,0.9700230591852421,0.7911617961511048,0.8110236220472441,0.7463203463203463
No-count (664D),42,0.7075702075702076,0.7156881456893375,0.7174972062907071,0.9059334298118669,0.9432759719566602,0.6304347826086957,0.6434231378763867,0.4553734061930783
No-count (664D),50,0.6485507246376812,0.6792527085272264,0.6673301149037403,0.7940691927512356,0.9365942028985508,0.5567685589519651,0.557429718875502,0.5514018691588785
No-count (664D),75,0.7186671715259372,0.7307714214299432,0.7280661272988638,0.9015748031496063,0.932422171602126,0.5775862068965517,0.6864,0.5558739255014327
No-count (664D),100,0.7229660144181257,0.7372768305695574,0.7323729888423204,0.8909090909090909,0.9141150112023898,0.611837048424289,0.694006309148265,0.575516693163752
No-pupil (672D),42,0.8443223443223443,0.8544191495044583,0.8498775917621867,0.976401179941003,0.976010101010101,0.7863636363636364,0.7736434108527132,0.7596774193548387
No-pupil (672D),50,0.7872200263504612,0.8099014966191455,0.7917416193533395,0.8941548183254344,0.9852125693160814,0.7201166180758017,0.7381590705987489,0.711864406779661
No-pupil (672D),75,0.8576296857251041,0.8689881511515466,0.868515986082056,0.9942857142857143,0.9730561970746728,0.7726894254787677,0.835970024979184,0.7689393939393939
No-pupil (672D),100,0.8599382080329557,0.8716125424574699,0.8717184716549593,0.9985652797704447,0.9700690713737529,0.8002991772625281,0.8201550387596899,0.7689741451209341
