task,observed_r,type
EF,0.4134269181564398,observed
EF,0.443873473540303,observed
EF,0.5305360793781115,observed
EF,0.4298870424076735,observed
EF,0.49008910381772236,observed
EF,0.47291775182013257,observed
EF,0.4729443786952063,observed
EF,0.42023833342662176,observed
EF,0.3248584890332085,observed
EF,0.6304272176819079,observed
EF,0.5069626163499316,observed
EF,0.6270168281770071,observed
EF,0.6390720719777259,observed
EF,0.5644130817464342,observed
EF,0.649952294082457,observed
EF,0.49600490493368415,observed
EF,0.4744958845219033,observed
EF,0.7599469208703302,observed
EF,0.29196246442018225,observed
EF,0.3625441190062805,observed
EF,0.37794160832770046,observed
EF,0.3088049524689752,observed
EF,0.40496584399645497,observed
EF,0.3969729286126567,observed
EF,0.30869982672247853,observed
EF,0.30965631651769643,observed
EF,0.2797446897066331,observed
EF,0.44256971093083075,observed
EF,0.4888156355609427,observed
EF,0.38928018215443033,observed
EF,0.5063861702875897,observed
EF,0.4679210362159048,observed
EF,0.39090986674265055,observed
EF,0.47560661985167285,observed
EF,0.3318717315921513,observed
EF,0.4808496623067942,observed
EF,0.40575608281425496,observed
EF,0.4420736057843892,observed
EF,0.35661705488599216,observed
EF,0.45967249547701317,observed
EF,0.42072897811262233,observed
EF,0.35927138289459465,observed
EF,0.4285220031556163,observed
EF,0.30878192836004875,observed
EF,0.4339668825786443,observed
EF,0.5414199782829844,observed
EF,0.6074256365240007,observed
EF,0.6388021759218958,observed
EF,0.6324852940094752,observed
EF,0.6948644303528613,observed
EF,0.6249256403402594,observed
EF,0.5711444169062364,observed
EF,0.4637112601954954,observed
EF,0.4858089612857169,observed
EF,0.6081956768014808,observed
EF,0.5649227281751208,observed
EF,0.6544525556962209,observed
EF,0.5858577968544357,observed
EF,0.5306549523581433,observed
EF,0.6174513199120178,observed
EF,0.5988137088371547,observed
EF,0.5108825162868467,observed
EF,0.6015263433652251,observed
EF,0.4381409764110753,observed
EF,0.46342241517992955,observed
EF,0.4259525780561191,observed
EF,0.5175717348865925,observed
EF,0.5892133078320917,observed
EF,0.4948595742751457,observed
EF,0.4214610364219114,observed
EF,0.48027937141160665,observed
EF,0.46953477607859573,observed
EF,0.6468075591443171,observed
EF,0.6474303367958871,observed
EF,0.7516883184310643,observed
EF,0.67555049955937,observed
EF,0.7377991095450256,observed
EF,0.727623871917984,observed
EF,0.6539812221849447,observed
EF,0.5956523262015366,observed
EF,0.588720767041151,observed
EF,0.42669920912085196,observed
EF,0.5359955182326667,observed
EF,0.5576399056912321,observed
EF,0.5013599088252412,observed
EF,0.44028561275890804,observed
EF,0.5902563418396624,observed
EF,0.5098688377155234,observed
EF,0.5036288264105799,observed
EF,0.5391172804880813,observed
VA,0.4478424055625435,observed
VA,0.44373689366607916,observed
VA,0.48259326813952697,observed
VA,0.5410767701455194,observed
VA,0.6479153085583339,observed
VA,0.5735373153190247,observed
VA,0.5137359030196967,observed
VA,0.47136155697209625,observed
VA,0.5069337600711764,observed
VA,0.5239846344225046,observed
VA,0.3829500491395176,observed
VA,0.6889657535660938,observed
VA,0.5047196098918391,observed
VA,0.5872869004764159,observed
VA,0.6392218679771008,observed
VA,0.4955084142746921,observed
VA,0.45360867253189374,observed
VA,0.504128609490512,observed
VA,0.46482399713629025,observed
VA,0.43021658173121646,observed
VA,0.5148511624727508,observed
VA,0.5238528901933233,observed
VA,0.6308912779337421,observed
VA,0.5513736069084937,observed
VA,0.5197261142113937,observed
VA,0.4783399950270497,observed
VA,0.42541953228030355,observed
VA,0.25635832813488474,observed
VA,0.3632196798662215,observed
VA,0.4562560814334517,observed
VA,0.3165301589569027,observed
VA,0.4341971759485944,observed
VA,0.3472882545515823,observed
VA,0.3059398312249742,observed
VA,0.26371593322871034,observed
VA,0.22130033775029367,observed
VA,0.323844696545043,observed
VA,0.3647096966193039,observed
VA,0.35597842476953495,observed
VA,0.2889699949888288,observed
VA,0.3717808458065,observed
VA,0.2667416113525233,observed
VA,0.257115024374975,observed
VA,0.2664949520017802,observed
VA,0.26864371822041966,observed
VA,0.5711562564294795,observed
VA,0.27891952752214405,observed
VA,0.25744744759403604,observed
VA,0.30719769589263535,observed
VA,0.396335734963208,observed
VA,0.37569137494841776,observed
VA,0.31682834331525617,observed
VA,0.2887921563569279,observed
VA,0.491559683467307,observed
VA,0.17566754460558692,observed
VA,0.261785799176868,observed
VA,0.35828215710004635,observed
VA,0.23439413709989484,observed
VA,0.3569564166856498,observed
VA,0.2487992439916959,observed
VA,0.1963624554227302,observed
VA,0.17731957987203537,observed
VA,0.16941314174320188,observed
VA,0.3115002902555252,observed
VA,0.2956786593350828,observed
VA,0.2487137167849494,observed
VA,0.2210993879248469,observed
VA,0.25466842743000206,observed
VA,0.20790083704113596,observed
VA,0.23449606473129375,observed
VA,0.2327589129183937,observed
VA,0.2418259214532227,observed
VA,0.7589108672445976,observed
VA,0.43740020518763334,observed
VA,0.5059493604594734,observed
VA,0.4093849701102123,observed
VA,0.4800555283776907,observed
VA,0.5135046128666799,observed
VA,0.4812475457102297,observed
VA,0.4457777129107019,observed
VA,0.6737101191728452,observed
VA,0.5324851747540656,observed
VA,0.5942988860338437,observed
VA,0.6627720123306519,observed
VA,0.6641398447765462,observed
VA,0.7245536401279432,observed
VA,0.6701603800118839,observed
VA,0.6303330209448045,observed
VA,0.5952390715641073,observed
VA,0.4790524263497213,observed
VA,0.7589108672445976,observed
VA,0.43740020518763334,observed
VA,0.5059493604594734,observed
VA,0.4093849701102123,observed
VA,0.4800555283776907,observed
VA,0.5135046128666799,observed
VA,0.4812475457102297,observed
VA,0.4457777129107019,observed
VA,0.6737101191728452,observed
VA,0.7156969635504701,observed
VA,0.4999965408042175,observed
VA,0.5646094188108203,observed
VA,0.6488097516501939,observed
VA,0.6988121444303947,observed
VA,0.7385875557666243,observed
VA,0.620987016591642,observed
VA,0.6007729575248903,observed
VA,0.8443579679865086,observed
EF,0.6498835915604504,observed
EF,0.7053109995498773,observed
EF,0.7870508328544755,observed
EF,0.7511677601830178,observed
EF,0.5926726160407757,observed
EF,0.7484557418655295,observed
EF,0.6856724623572901,observed
EF,0.7497878265339374,observed
EF,0.7180426718040125,observed
EF,0.5911380543185863,observed
EF,0.6289949802987284,observed
EF,0.6037947413476933,observed
EF,0.5271535735864336,observed
EF,0.5228708448780159,observed
EF,0.61614888353592,observed
EF,0.6188058303165517,observed
EF,0.6504239458320759,observed
EF,0.5110664371640701,observed
EF,0.6262899949092771,observed
EF,0.7003391647350504,observed
EF,0.7063564099238366,observed
EF,0.6454284071675795,observed
EF,0.5751877904867171,observed
EF,0.6964666924664537,observed
EF,0.6732956490053471,observed
EF,0.7359138714947107,observed
EF,0.6121904628509472,observed
EF,0.5248152560618132,observed
EF,0.6309370965194475,observed
EF,0.7134131854541156,observed
EF,0.7002850552291828,observed
EF,0.5065094992039582,observed
EF,0.6496421347378616,observed
EF,0.5757574527844428,observed
EF,0.6446041539205177,observed
EF,0.6959775526116194,observed
EF,0.46748099866884213,observed
EF,0.5731071662903927,observed
EF,0.6331959859883407,observed
EF,0.6975027608694752,observed
EF,0.5121828260491288,observed
EF,0.5529001621778606,observed
EF,0.4822075683919115,observed
EF,0.5698258318263566,observed
EF,0.6949668793672507,observed
EF,0.5255157025108311,observed
EF,0.5488749784135369,observed
EF,0.685782478872179,observed
EF,0.7032058696477631,observed
EF,0.4556106396714934,observed
EF,0.6544069526700763,observed
EF,0.6094060050833485,observed
EF,0.6060079470345668,observed
EF,0.6708519272710111,observed
EF,0.41547608815363973,observed
EF,0.4804500406369101,observed
EF,0.5939861508311336,observed
EF,0.6193294032531198,observed
EF,0.3972387207223464,observed
EF,0.5302499331629198,observed
EF,0.4838392159909886,observed
EF,0.5172127183573542,observed
EF,0.6059349462309708,observed
EF,0.38783630719988893,observed
EF,0.4364983668501982,observed
EF,0.5339076036249438,observed
EF,0.5419190325513418,observed
EF,0.3471953591516059,observed
EF,0.4910274242483844,observed
EF,0.4604679429570978,observed
EF,0.4849475202259382,observed
EF,0.528844662016589,observed
EF,0.7969942261370714,observed
EF,0.758004817309985,observed
EF,0.7473273362986805,observed
EF,0.5704409128566975,observed
EF,0.5616305142030604,observed
EF,0.7523838417884473,observed
EF,0.7225136479713135,observed
EF,0.7639009498091675,observed
EF,0.5139866487099743,observed
EF,0.7490752768109913,observed
EF,0.5505059376705347,observed
EF,0.5918532309664488,observed
EF,0.5048530425802703,observed
EF,0.5868286846636872,observed
EF,0.6233810208100115,observed
EF,0.6308532099567421,observed
EF,0.6144645824612649,observed
EF,0.49127288341385994,observed
VA,0.31303794074900954,observed
VA,0.2377389426518361,observed
VA,0.2863854537084313,observed
VA,0.37775298898069265,observed
VA,0.44333755569046335,observed
VA,0.2306749380433758,observed
VA,0.3069729665856641,observed
VA,0.3137917926062754,observed
VA,0.2992091782226775,observed
VA,0.3031504786999008,observed
VA,0.24551389757152065,observed
VA,0.2905612733636738,observed
VA,0.38107130149018353,observed
VA,0.48904050604357185,observed
VA,0.1931883127863737,observed
VA,0.2880678537536943,observed
VA,0.28274639306750227,observed
VA,0.2833958529430528,observed
VA,0.3400899142794111,observed
VA,0.32641098309933764,observed
VA,0.2960926227272829,observed
VA,0.4215657462410017,observed
VA,0.4346751020866055,observed
VA,0.298651548333415,observed
VA,0.33745279221657204,observed
VA,0.34497307832359203,observed
VA,0.32348580412308375,observed
VA,0.4075492220951886,observed
VA,0.3834872209809507,observed
VA,0.4379293730794077,observed
VA,0.33943596924783537,observed
VA,0.6082139529407288,observed
VA,0.41633023231350785,observed
VA,0.3789592658735473,observed
VA,0.38870578512845877,observed
VA,0.384276319331269,observed
VA,0.8059354009981605,observed
VA,0.7500621086492194,observed
VA,0.5223115195185094,observed
VA,0.729167997298895,observed
VA,0.6349618238696609,observed
VA,0.6787022744341225,observed
VA,0.8079064423884282,observed
VA,0.8042632222461125,observed
VA,0.823226229942389,observed
VA,0.5698078522453476,observed
VA,0.5987218409313141,observed
VA,0.4429391445006452,observed
VA,0.5921032115797423,observed
VA,0.48705610781828784,observed
VA,0.5533012448134192,observed
VA,0.5849616504127855,observed
VA,0.5781668665624499,observed
VA,0.5852321478189156,observed
VA,0.566024111128661,observed
VA,0.5969232583402415,observed
VA,0.45813558975603663,observed
VA,0.5952208651252434,observed
VA,0.48622192860330166,observed
VA,0.5476260183122501,observed
VA,0.5827684265082279,observed
VA,0.5752116880065768,observed
VA,0.5807479282862272,observed
VA,0.569873684397881,observed
VA,0.5999606290958439,observed
VA,0.45989096324459133,observed
VA,0.5967567872272652,observed
VA,0.48960862616076295,observed
VA,0.5513641004501264,observed
VA,0.5866033244415183,observed
VA,0.5791540996046102,observed
VA,0.5842708153869844,observed
VA,0.8948239567263214,observed
VA,0.7310401361878748,observed
VA,0.7553706886055771,observed
VA,0.7108690022194959,observed
VA,0.7498074511754422,observed
VA,0.7442898309614902,observed
VA,0.8796946583126628,observed
VA,0.8730778520497905,observed
VA,0.8439895837897525,observed
VA,0.8948239567263214,observed
VA,0.7310401361878748,observed
VA,0.7553706886055771,observed
VA,0.7108690022194959,observed
VA,0.7498074511754422,observed
VA,0.7442898309614902,observed
VA,0.8796946583126628,observed
VA,0.8730778520497905,observed
VA,0.8439895837897525,observed
VA,0.6462468402194402,observed
VA,0.7634371489820814,observed
VA,0.5127125221206259,observed
VA,0.6272190131552515,observed
VA,0.4874150299976059,observed
VA,0.7640201050437911,observed
VA,0.6510312000026928,observed
VA,0.6369530442832039,observed
VA,0.7004577297645386,observed
VA,0.4745482263117787,observed
VA,0.545529738602876,observed
VA,0.38886285799867026,observed
VA,0.5519935826109188,observed
VA,0.2713097771529623,observed
VA,0.5631466469368597,observed
VA,0.48638266482178183,observed
VA,0.4624318083468943,observed
VA,0.5458935510358056,observed
EF,0.1307277306922051,observed
EF,0.2624412623874985,observed
EF,0.264345469047186,observed
EF,0.2626559754430419,observed
EF,0.23083858225746282,observed
EF,0.3192993339260307,observed
EF,0.24385760941691065,observed
EF,0.21736432333381148,observed
EF,0.12852738537247993,observed
EF,0.17499082333391638,observed
EF,0.2882388876029255,observed
EF,0.30414078282279905,observed
EF,0.2437002572523134,observed
EF,0.3272275735271417,observed
EF,0.24425673238832737,observed
EF,0.20880557576511646,observed
EF,0.2020647630227953,observed
EF,0.16929140654421135,observed
EF,0.14684573547142377,observed
EF,0.22239519880683073,observed
EF,0.2741646983429753,observed
EF,0.2148198784447595,observed
EF,0.2921311240136132,observed
EF,0.28129821395946425,observed
EF,0.22386515039059263,observed
EF,0.18777528473942892,observed
EF,0.13317163557047204,observed
EF,0.5650960534729665,observed
EF,0.3382544879183288,observed
EF,0.30967642635479764,observed
EF,0.49576914635405345,observed
EF,0.36725158122035617,observed
EF,0.26080281677429396,observed
EF,0.16225362763521178,observed
EF,0.6410344268211468,observed
EF,0.6010628933089354,observed
EF,0.5227361207339266,observed
EF,0.3506052544143302,observed
EF,0.324220932231272,observed
EF,0.4973281608801497,observed
EF,0.3778652395962379,observed
EF,0.2958439119672289,observed
EF,0.19527573316025582,observed
EF,0.6234005573799513,observed
EF,0.5626403937301209,observed
EF,0.0812989959879099,observed
EF,0.08127771334431781,observed
EF,0.08172964924785776,observed
EF,0.06881364676979572,observed
EF,0.06815512458408714,observed
EF,0.07987095126564156,observed
EF,0.07330726000527703,observed
EF,0.07772814032285139,observed
EF,0.08098587251121621,observed
EF,0.06516108124152045,observed
EF,0.07583378048423561,observed
EF,0.09085015125496845,observed
EF,0.08430457773239677,observed
EF,0.08928468807668868,observed
EF,0.07880450135682548,observed
EF,0.05898930409869973,observed
EF,0.05991887019458895,observed
EF,0.059793089436501475,observed
EF,0.053782758038645656,observed
EF,0.080494884862866,observed
EF,0.07631667915156815,observed
EF,0.06521354700550051,observed
EF,0.06257153364417067,observed
EF,0.07926355617673991,observed
EF,0.07042873756383362,observed
EF,0.05503492855498402,observed
EF,0.05456000884223884,observed
EF,0.9080838683937683,observed
EF,0.5378854625360762,observed
EF,0.5103929146198578,observed
EF,0.7780985911125103,observed
EF,0.6907420575359003,observed
EF,0.311171189233658,observed
EF,0.21322734647644037,observed
EF,0.7665866597469266,observed
EF,0.9119694508478274,observed
EF,0.9488511816465588,observed
EF,0.5957245490560521,observed
EF,0.6223634013908563,observed
EF,0.7871910570704959,observed
EF,0.7349478296667166,observed
EF,0.31097237317855864,observed
EF,0.2843081954346365,observed
EF,0.8053814250610587,observed
EF,0.9532886931337128,observed
VA,0.44520387798273575,observed
VA,0.42869658962041207,observed
VA,0.5513871078456729,observed
VA,0.5401190101843101,observed
VA,0.4743060629066115,observed
VA,0.5358287597291297,observed
VA,0.4306966069348221,observed
VA,0.4425231328111204,observed
VA,0.4845840128661889,observed
VA,0.46374845793098474,observed
VA,0.40447928686018364,observed
VA,0.567127558204955,observed
VA,0.5624891089456628,observed
VA,0.495020927865796,observed
VA,0.523343852362308,observed
VA,0.4002287741657362,observed
VA,0.45520096217730177,observed
VA,0.49442441354767125,observed
VA,0.4487413607661315,observed
VA,0.4195608680182164,observed
VA,0.5599648826548982,observed
VA,0.5512893838828091,observed
VA,0.48600283210508705,observed
VA,0.5303831487973776,observed
VA,0.4173171385390701,observed
VA,0.44626388657513644,observed
VA,0.4862448841007756,observed
VA,0.5834373198144122,observed
VA,0.6028291868598626,observed
